ID	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
8102230	9.378917	9.579904	9.378917	9.266739	8.177211	9.639158	9.742513	8.010785	9.4237	8.719235	8.798097	8.945917	9.314344	10.102659	8.722095	8.31821	11.799446	9.08584	9.363969	9.08584	9.699415	9.102961
8085811	16.964832	19.144108	15.402596	19.29334	17.321798	16.991312	15.027011	16.981092	18.942765	14.516291	17.459327	18.389409	16.229025	15.353577	17.307117	17.984622	16.529952	14.708642	14.444636	16.228233	14.754711	19.571881
8108299	5.606844	6.165067	5.652337	5.738437	7.038045	5.945052	5.808055	5.752775	5.815171	5.744679	5.318983	5.815171	6.257871	5.736634	5.739592	5.493341	6.038669	5.78808	6.637399	6.224823	5.815171	5.153832
7972044	691.031087	779.183864	640.810397	590.328901	616.136739	687.694659	672.468146	572.462351	609.131373	617.475065	617.823693	634.650627	641.587049	646.792208	622.122891	612.965901	713.118451	667.418655	630.192699	677.653536	623.41381	589.507942
8015014	5.660877	6.255855	6.204384	5.355602	6.031916	5.853766	5.516455	5.884843	6.642768	5.437056	6.352044	6.282776	6.232187	5.884049	5.907014	5.706725	5.729929	6.104913	6.130616	5.833227	5.818423	6.262985
7895084	2453.385902	2124.599817	2330.605076	2548.194421	2706.825071	2177.445907	2592.491527	2490.805421	2882.165496	2466.019093	2605.536605	2408.716083	2428.205523	2380.229973	2315.804075	2467.436814	2138.712025	2391.631482	2334.093707	1786.496905	2308.146557	2521.766362
8031675	110.897513	108.812273	124.48841	117.75004	128.38279	111.178431	119.872715	109.906027	141.078835	112.993638	125.387051	115.460903	103.674264	107.46755	99.921385	111.699278	106.563215	107.398883	116.039675	108.938032	122.320645	112.940444
7949019	5.877674	6.719467	5.672581	6.523322	5.881083	5.858861	6.475531	6.025498	7.658355	7.47157	5.923703	6.989458	6.473924	7.453711	6.116378	6.860764	5.707264	6.358409	5.936024	5.962863	6.692937	5.862467
8091342	31.911224	32.871028	36.342655	36.209131	32.565999	37.048804	34.057738	30.890058	32.776532	30.993006	30.749283	32.401143	32.315746	33.186357	31.57524	30.803282	29.814836	32.565999	32.661329	35.984018	28.56817	39.417558
7917885	1716.540713	1508.907201	1604.486728	1510.298473	1549.109279	1570.005554	1663.658797	1617.222774	1587.231939	1570.406709	1696.846317	1408.60517	1542.223113	1532.923281	1312.797352	1401.545806	1480.714714	1502.604067	1369.884946	1371.446738	1417.134201	1399.081707
8094501	105.445069	109.290292	110.671529	113.945118	105.219966	110.636494	112.112802	123.648189	100.668286	106.833729	115.048572	111.773466	109.905757	115.867488	113.815374	114.341592	113.132277	114.622212	116.120384	112.527387	111.601011	112.399522
8022102	6.780261	6.50778	7.219159	5.765827	6.593074	6.780261	6.527892	6.896948	6.919426	7.539057	6.00725	6.289742	7.536626	6.780261	6.923177	6.629642	7.055915	6.391094	7.569875	6.548038	7.051905	7.286611
8119974	440.587295	450.735038	449.635346	438.232293	408.90194	445.973163	416.998467	435.330611	452.986936	458.455783	477.6726	445.649143	408.017919	415.860489	389.481636	454.076769	417.101601	379.691526	434.218284	461.903202	410.457357	403.857292
8029988	16.783099	16.902059	17.11569	15.97388	17.2147	17.580147	17.452657	16.852601	17.341657	16.093352	19.466782	16.581737	15.176514	16.345761	16.61249	15.883281	15.971019	15.340299	18.677477	16.412616	16.258652	19.694974
8007530	9.79926	13.470576	9.567106	10.201434	10.616586	11.224177	11.07244	11.472807	13.910602	9.486782	9.486782	9.925216	11.329845	8.599112	10.201434	12.669733	10.25051	8.335625	10.012526	10.201434	7.806572	10.201434
7970455	283.806276	285.82722	267.525759	273.175865	263.21688	262.379557	271.672495	235.781176	263.292575	256.040836	248.804777	276.445422	278.257243	278.225791	282.477378	281.230843	269.090724	280.616713	269.977974	267.52194	281.065171	275.224663
8110569	3980.07401	4179.419891	4152.070968	4181.400742	3966.976565	4191.94699	4284.206921	4261.408434	4295.903363	4070.822085	4041.934654	4279.753525	4464.210964	4514.215667	4452.836862	4305.781178	4597.465294	4455.660616	4644.565392	4323.199354	4256.331409	4439.635605
8058509	204.535713	206.939406	231.547194	213.275308	213.133133	210.20272	155.960776	273.261938	174.138984	197.210898	223.232397	225.790317	211.810948	280.642837	258.925372	259.288963	207.275252	207.899593	244.500179	270.66614	286.946455	213.666479
7894400	81.820546	70.00311	173.649193	142.774977	119.724196	94.160835	101.270952	129.92947	137.967157	179.081592	93.85208	70.285587	134.167771	131.855879	149.186731	186.869866	166.891067	123.669076	160.611331	95.900202	96.841048	101.99386
7931403	10.58956	11.323135	11.024435	11.987358	10.744108	10.318776	11.36467	13.003709	11.050151	12.943436	11.067994	12.031127	12.37005	11.1082	10.058067	9.418436	11.200883	11.75519	10.411672	10.936226	10.618806	11.297427
